author,author_lat,lang,geo,erme_geo,birth_date,comment
"Кривошеева, Ефимия Петровна",,myv,д. Тарасовка_Камешкирский район,|Myv:PO_Tarasovka;RU;52.769677;45.936349|,18670601_19360624,(Адамова; husband: Кривошеев, Илья Петрович)
"Кригин, Василий Алексеевич",,mdf,с. Юнки_Торбеевскский район,|Mdf:MR_Junki;RU;54.146111;43.460278|,19450908_,
"Кудашкин, Иван Никитович",Мокшень Мазканя,mdf,Маскино_Ельниковский район,|Mdf:Maskino;RU;54.506667;43.958333|,19360915_1998,
"Кузьмин, Семён П.",,myv,с. Булатовка_Абдулинском район Оренбургская область,|Myv:OO_AbdulinskijBulatovka;RU;53.758, 53.417|,1923????_,
"Кузнецов, Юрий Федорович",,mdf,Пишля_Рузаевский район,|Mdf:Pišlja;RU;54.506500;44.918667|,19360627_1981,
"Кулдуркаев, Яков Яковлевич",,myv,с. Лобаски_Атяшевский район,|Myv:MR_AtjashLambaske;RU;54.644167;45.730833|,18941022_19660728,
"Куляскин, Дмитрий Степанович",,myv,с. Николаевка_Лопатинский район,|Myv:MR_Nikolaevka;RU;52.620556;45.810278|,19210921_19670725,
"Куторкин, Андрей Дмитриевич",,myv,Студенец_Напольное Порецкий район Чувашская Республика,|Myv:CHR_Napoljnoe;RU;55.125833;46.353056|,19100825_19910512,(А. Ёндол)
"Кшнякин, Иван Максимович",,mdf,с. Атюрьево_Атюревьский район,|Mdf:Atjur;RU;54.318056;43.343056|,19130704_19971114,
"Кяшкин, Михаил Андреевич",,mdf,с. Большие Мордовские Пошаты_Ельниковский район,|Mdf:MR_Poshaty;RU;54.659661;43.703171|,19211020_,
"Ладыгина, Татьяна ???",,myv,с. ХХ_ХХ район,|Myv:_;RU;_;_|,19??0??0_,(Разгуляева)
"Ларионов, Сергей Степанович",,mdf,с. Анаево Зубово-Полянский район,|Mdf:An;RU;54.236895;42.564523|,190806_19910804,
"Левчаев, Пётр Иванович",,mdf,с. Промзино_Зубово-Полянский район,|Mdf:Promzino;RU;54.253000;42.634333|,19130301_1985,
"Лёвин, Виктор Михаилович",,mdf,с. Болдово_Рузаевский район,|Mdf:Bold;RU;53.985278;44.641111|,19410227_19710901,
